Intent Name,Confidence Level,Description,Detection Signals,Domain,Examples,L1 Category,L2 Intent,L3 Specific Intent,Product Category,Ma Intent,Logic category san pham
Chăm sóc da biến màu / lỗi chất lượng sau dùng,Cao,"Sản phẩm đã mở đã dùng bị biến đổi màu sắc, chất lỏng, mùi bất thường (không phải hỏi thành phần trước mua)",↳ đổi màu | ↳ vàng | ↳ lỗi,My pham,Gel còn 1/4 thì ngả sang màu vàng!,sau_mua_hang,chat_luong_loi,cham_soc_da_bien_mau_chat_luong_sau_dung,Cham soc da,INT-84,Neu khach mo ta SP cham soc da bi doi mau tach nuoc mui la sau khi dung thi gan sau_mua_hang chat_luong_loi; khong gan cham_soc_toc_thanh_phan hay di_ung_an_toan neu khong hoi thanh phan
Tem niêm phong / đóng gói / chú ý bảo quản,Cao,"Hỏi tem niêm phong, nhãn hiệu, đóng gói, bao bì (không phải thành phần hóa học)",↳ tem | ↳ niêm phong | ↳ seal,My pham,Mẫu chai có dán tem không shop?,truoc_mua_hang,di_ung_an_toan,chu_y_bao_quan,Cham soc da,INT-85,Neu hoi tem seal nhan tren chai hop chu khong hoi chat gay di ung thi gan intent nay; khong gan laptop hay dien tu
Hướng dẫn cách dùng sản phẩm,Cao,"Liều lượng, tần suất, routine, cách áp dụng, thứ tự bước skincare / makeup",↳ cách dùng | ↳ liều | ↳ routine,My pham,Dùng sáng hay tối trước kem dưỡng?,truoc_mua_hang,thiet_bi_tu_van,dung_san_pham,Cham soc da,INT-86,Neu hoi cach dung lieu luong tan suat thu tu buoc skincare makeup thi gan intent nay; khong gan so sanh gia hay ton kho
Hỏi quà tặng khi mua,Cao,Hỏi có quà tặng kèm khi mua sản phẩm (trước thanh toán hoặc đang xem SP),↳ quà tặng | ↳ mua có quà | ↳ KM kèm,My pham,Mua có được quà tặng gì không ạ?,truoc_mua_hang,uu_dai_yeu_cau,qua_tang_nguoi_mua,Cham soc da,INT-87,Neu hoi qua tang kem don truoc mua hoac tren trang SP my pham thi gan intent nay; khong gan giao_hang_loi neu khong phan nan ship; KHONG dung INT-105/INT-91 nua
Phù hợp da dầu,Cao,Hỏi sản phẩm có phù hợp da dầu hay không (không phải hỏi giá hay so sánh),↳ da dầu | ↳ phù hợp | ↳ hợp da,My pham,Sản phẩm có phù hợp da dầu không ạ?,truoc_mua_hang,thiet_bi_tu_van,phu_hop_da_dau,Cham soc da,INT-88,Neu cau co chu phu hop da dau hop da dau ma khong hoi gia thi gan intent nay
Phù hợp da nhạy cảm (slug da_nhay_cam),Cao,Đồng nghĩa tư vấn da nhạy cảm; ưu tiên INT-41 nhay_cam_da nếu retrieval trả đúng,↳ da nhạy cảm | ↳ nhạy cảm,My pham,Sản phẩm này cho da nhạy cảm được không?,truoc_mua_hang,thiet_bi_tu_van,da_nhay_cam,Cham soc da,INT-89,Gan khi model viet da_nhay_cam; uu tien nhay_cam_da INT-41 neu retrieval tra dung
Hỏi hạn sử dụng trước mua,Cao,Hỏi HSD / date hết hạn trước khi mua (chưa phàn nàn hàng hết hạn sau nhận),↳ HSD | ↳ hết hạn | ↳ date sản xuất,My pham,Sản phẩm này còn hạn đến bao giờ?,truoc_mua_hang,ton_kho_kiem_tra,hoi_han_su_dung_truoc_mua,Cham soc da,INT-90,Neu hoi ngay het han truoc mua hoac tren quang cao SP chua noi don da nhan thi gan intent nay; khong gan INT-56 sau_mua_hang het han
Chống ánh sáng xanh kem chống nắng,Cao,Hỏi công nghệ chống ánh sáng xanh / blue light của kem chống nắng,↳ ánh sáng xanh | ↳ blue light | ↳ HEV,My pham,Loại này có chống ánh sáng xanh không ạ?,truoc_mua_hang,di_ung_an_toan,chong_anh_sang_xanh,Cham soc da,INT-92,Neu hoi SPF kem chong nang co chong anh sang xanh HEV thi gan intent nay
Phù hợp mang thai / cho con bú,Cao,Hỏi sản phẩm có dùng được khi mang thai / cho con bú hay không,↳ bầu | ↳ mang thai | ↳ cho con bú,My pham,Bầu dùng được không ạ?,truoc_mua_hang,thiet_bi_tu_van,phu_hop_mang_thai_bau,Cham soc da,INT-94,Neu hoi bau me mang thai tre em dung duoc SP my pham thi gan intent nay; KHONG dung INT-103 nua
Quà tặng trị giá không khớp quảng cáo,Cao,Phàn nàn mô tả giá trị quà tặng KM trên web khác thực tế (chưa nói đơn đã nhận),↳ quà tặng | ↳ trị giá | ↳ ghi sai,My pham,Mua kem B5 mà ghi tặng SRM 225k mà chỉ 45k!,truoc_mua_hang,uu_dai_yeu_cau,gia_tri_qua_tang_khong_khop,Cham soc da,INT-95,Neu khach noi qua KM ghi sai tri gia so voi quang cao trang SP thi gan intent nay
Kiểm tra tem chống giả,Cao,Hỏi sản phẩm có tem chống hàng giả không,↳ tem chống giả | ↳ tem dán,My pham,Chai có tem chống giả không?,truoc_mua_hang,di_ung_an_toan,tem_chong_gia,Cham soc da,INT-102,Neu hoi tem chong gia auth seal hang that gia thi gan intent nay; khac INT-85 chu y bao quan
Chất lượng hàng hóa kém (chung),Cao,Phàn nàn chất lượng sản phẩm không tốt khi không xác định được loại sản phẩm cụ thể,↳ chất lượng kém | ↳ hàng không tốt,My pham,Chất lượng hàng không tốt!,sau_mua_hang,chat_luong_loi,chat_luong_hang_hoa,Cham soc da,INT-106,Neu cau ngan gon chi noi chat luong kem ma khong roi vao cham soc da/toc/trang diem cu the thi gan intent nay
Thông tin sữa rửa mặt,Cao,"Hỏi thông tin sữa rửa mặt / cleanser (date, công dụng, tổng quan)",↳ sữa rửa mặt | ↳ cleanser,My pham,Date sữa rửa mặt này còn xa không?,truoc_mua_hang,thong_tin_san_pham,sua_rua_mat,Cham soc da,INT-107,Neu hoi thong tin chung ve sua rua mat cleanser thi gan intent nay
Giao hàng chậm trễ (chung),Cao,Khiếu nại giao hàng chậm trễ không gắn với loại sản phẩm cụ thể,↳ giao chậm | ↳ đơn lâu | ↳ chưa giao,My pham,Đặt cả tuần chưa nhận được!,sau_mua_hang,giao_hang_loi,giao_hang_cham_tre,Cham soc da,INT-108,Generic delivery delay; neu xac dinh duoc cham soc da co the dung INT-54; KHONG dung INT-116 nua
Yêu cầu khuyến mãi đặc biệt,Cao,"Yêu cầu ưu đãi / khuyến mãi đặc biệt (mua N tặng M, voucher, …)",↳ khuyến mãi | ↳ ưu đãi đặc biệt,My pham,Khuyến mãi mua 2 tặng 1 có không?,truoc_mua_hang,uu_dai_yeu_cau,khuyen_mai_dac_biet,Cham soc da,INT-109,Neu yeu cau khuyen mai mua N tang M dac biet ma khong nhac mua le hay khach moi thi gan intent nay
Combo giá tại cửa hàng,Cao,Hỏi giá combo tại cửa hàng / chi nhánh,↳ combo giá | ↳ mua combo | ↳ chi nhánh,My pham,Mua combo ngoài cửa hàng tính sao?,truoc_mua_hang,gia_so_sanh,combo_gia_cua_hang,Cham soc da,INT-111,Neu hoi combo giá tai chi nhánh / cua hang thi gan intent nay; KHONG dung INT-124 nua
Xuất xứ sản phẩm,Cao,"Hỏi xuất xứ, nơi sản xuất, made in",↳ sản xuất ở đâu | ↳ made in | ↳ xuất xứ,My pham,Sản phẩm này sản xuất ở đâu?,truoc_mua_hang,thong_tin_san_pham,xuat_xu_san_pham,Cham soc da,INT-112,Neu hoi xuat xu san xuat o dau made in nuoc san xuat thi gan intent nay
Dùng thử tại cửa hàng,Cao,Hỏi có thể test / dùng thử sản phẩm tại cửa hàng,↳ test tại cửa hàng | ↳ dùng thử | ↳ tester,My pham,Có được test tại cửa hàng không?,truoc_mua_hang,thong_tin_san_pham,dung_thu_cua_hang,Cham soc da,INT-114,Neu hoi test tester dung thu tai cua hang thi gan intent nay
Tư vấn màu sắc trang điểm,Cao,Tư vấn tone màu trang điểm phù hợp,↳ tư vấn màu | ↳ tone nào | ↳ màu nào,My pham,Cần tư vấn màu phù hợp,truoc_mua_hang,thiet_bi_tu_van,tu_van_mau_sac,Trang diem,INT-115,Neu tu van tone mau cushion son nen thi gan intent nay
Hoàn tiền chậm trễ,Cao,Khiếu nại hoàn tiền chưa về / chậm,↳ không hoàn tiền | ↳ chưa hoàn | ↳ khi nào hoàn,My pham,Hủy đơn mà chưa hoàn tiền!,sau_mua_hang,hoan_tien_yeu_cau,hoan_tien_cham,Cham soc da,INT-117,Neu khach hoi khi nao hoan tien hoac chua hoan thi gan intent nay; khac INT-59 chi yeu cau hoan tien
Sản phẩm chính hãng / auth,Cao,"Hỏi sản phẩm có chính hãng không, lo ngại hàng giả",↳ chính hãng | ↳ auth | ↳ thật giả,My pham,Sản phẩm có chính hãng không?,truoc_mua_hang,di_ung_an_toan,chinh_hang_auth,Cham soc da,INT-118,Neu lo nghi ngo hang gia auth chinh hang thi gan intent nay
Giao hàng 2 giờ,Cao,Hỏi về dịch vụ giao hàng 2 giờ / giao nhanh trong ngày,↳ giao 2h | ↳ giao nhanh | ↳ trong 2 tiếng,My pham,Có giao hàng 2 giờ không?,truoc_mua_hang,trang_thai_van_chuyen,giao_hang_2h,Cham soc da,INT-119,Neu hoi giao hang 2h giao trong ngay express thi gan intent nay
Giao thiếu sản phẩm trong đơn,Cao,Khách phàn nàn đơn giao thiếu món đã mua (không phải quà tặng KM),↳ giao thiếu | ↳ thiếu chai | ↳ thiếu bông tẩy trang | ↳ thiếu món,My pham,Giao thiếu bông tẩy trang rồi shop ơi!,sau_mua_hang,van_de_giao_hang,giao_thieu_san_pham_trong_don,Cham soc da,INT-128,Neu khach noi giao thieu mon da mua trong don thi gan intent nay; khong gan thieu_qua_tang_khuyen_mai INT-77 neu khong nhac qua tang hoac KM
Bảo quản nhiệt độ / nắng nóng,Cao,"Khách hỏi điều kiện bảo quản liên quan đến nhiệt độ cao, ánh nắng, để xe nóng (lo sản phẩm bị biến chất / chảy / hỏng do nhiệt)",↳ nắng nóng | ↳ nhiệt độ cao | ↳ để xe | ↳ phơi nắng | ↳ tan chảy,My pham,Sản phẩm này có bị hỏng do nắng nóng không?,truoc_mua_hang,bao_quan_san_pham,bao_quan_nhiet_do_nang_nong,Cham soc da,INT-129,Neu khach hoi nang nong nhiet do cao de xe phoi nang co hong khong thi gan intent nay; khac INT-85 chi tem seal
Bảo quản độ ẩm / mốc,Cao,"Khách hỏi sản phẩm có dễ bị mốc, ẩm mốc, hư do độ ẩm cao (để phòng tắm, mùa mưa)",↳ bị mốc | ↳ ẩm mốc | ↳ phòng tắm | ↳ độ ẩm | ↳ mùa mưa,My pham,Dùng có dễ bị mốc không?,truoc_mua_hang,bao_quan_san_pham,bao_quan_do_am_moc,Cham soc da,INT-130,Neu khach hoi co bi moc khong de am co hong khong thi gan intent nay
Hạn sử dụng sau khi mở nắp (PAO),Cao,"Khách hỏi sau khi mở nắp dùng được bao lâu (PAO 6M / 12M / 24M), khác hỏi HSD trên bao bì",↳ mở rồi dùng | ↳ sau khi mở | ↳ PAO | ↳ 12M | ↳ bao lâu sau mở,My pham,Mở chai rồi dùng được bao lâu ạ?,truoc_mua_hang,bao_quan_san_pham,bao_quan_thoi_gian_sau_mo_nap,Cham soc da,INT-131,Neu khach hoi mo roi dung duoc bao lau PAO 12M thi gan intent nay; khac INT-90 hoi HSD truoc khi mo
Điều kiện bảo quản chung,Cao,"Khách hỏi nơi/cách bảo quản chung (tủ lạnh, ngăn mát, nhiệt độ phòng, nơi khô ráo)",↳ tủ lạnh | ↳ ngăn mát | ↳ bảo quản ở đâu | ↳ nơi khô ráo | ↳ nhiệt độ phòng,My pham,Có cần để tủ lạnh không shop?,truoc_mua_hang,bao_quan_san_pham,bao_quan_dieu_kien_chung,Cham soc da,INT-132,Neu khach hoi cach bao quan chung tu lanh ngan mat noi kho rao thi gan intent nay; khac INT-129/130 chi nhiet/am cu the
